	Xcont.1	Xcont.2	Xcat.1	Xcat.2	Treat	Y	distance	weights	subclass
272	1.825011064	-0.140262777	0	0	1	1	0.769535824	1	14
281	-1.011821903	-1.077316458	0	0	1	1	0.400273188	1	15
283	-0.700970332	-1.521112361	1	0	0	0	0.274853489	1	59
295	1.656043037	-0.178493815	0	0	0	1	0.740268963	1	14
296	1.809805386	-0.654524572	1	0	1	1	0.579961753	1	16
304	1.009808215	0.445136748	0	0	0	1	0.091813328	1	64
312	0.443664904	0.051368536	1	0	1	1	0.010338732	1	19
313	-0.42172187	-1.99180636	1	0	0	0	0.766236421	1	68
316	1.227717117	-0.492428501	0	0	1	1	0.804805438	1	20
321	0.143132159	-0.608697429	0	0	0	0	0.485459845	1	70
323	-0.504451525	-0.910489532	0	0	1	0	0.47161719	1	22
334	0.554438552	-0.626845842	0	0	0	1	0.673070237	1	67
339	-0.214131174	-0.146673231	0	0	0	1	0.089440418	1	53
346	1.164575246	0.409586541	1	0	0	1	0.010163628	1	19
348	-2.344513405	-1.33738431	0	0	0	0	0.141811799	1	7
356	0.547524202	0.451017021	0	0	1	0	0.042405968	1	24
357	1.891227017	0.487323596	0	0	1	1	0.287520293	1	25
360	1.948713065	-0.059816076	0	0	1	1	0.756822879	1	26
368	0.307314215	-0.482917703	0	0	1	0	0.445456997	1	27
369	-0.046318533	-0.356190513	0	0	0	1	0.216787955	1	8
396	0.789394404	-0.023296816	0	0	0	1	0.266584891	1	61
398	0.538833116	-1.340514833	1	0	1	1	0.633294157	1	29
407	1.463283045	0.119484571	0	0	1	1	0.414314783	1	30
422	0.374143973	-0.187165292	0	0	1	1	0.239965076	1	31
427	1.585159164	-0.068047008	1	0	0	1	0.104257778	1	1
436	1.606759566	-0.508128148	0	0	1	1	0.893978302	1	32
449	0.32527122	-0.603207076	0	0	0	0	0.559547191	1	18
450	2.062480973	0.398603901	1	0	1	1	0.048475591	1	33
453	1.367544315	-0.305488889	0	0	1	1	0.730308271	1	34
459	-0.148720478	-1.021193258	0	0	0	0	0.710650103	1	39
461	0.104808718	-0.457590838	0	0	1	0	0.34042184	1	35
464	0.697975193	-0.591833695	0	0	1	1	0.700062999	1	36
475	-0.040206937	-0.95542506	0	0	0	1	0.701379583	1	34
477	-0.504033322	0.075984152	0	0	1	0	0.026195264	1	37
484	0.419709895	0.316726056	0	0	0	1	0.054025866	1	48
486	3.195901198	-0.38196628	0	1	0	1	0.454028953	1	62
489	0.674028669	0.223432419	0	0	0	1	0.110183044	1	13
502	-1.224737876	-1.3645489	0	0	0	0	0.560945091	1	16
504	-0.109219993	-0.556284346	0	0	0	0	0.33548553	1	35
509	0.354503661	-0.527465163	0	0	1	0	0.505315173	1	38
516	-0.871449472	-1.415028141	0	0	1	0	0.738676911	1	39
520	1.30919086	-1.891384722	1	1	1	1	0.311926981	1	40
521	1.466722642	-0.222651293	0	0	0	0	0.705715175	1	47
540	0.344995049	-0.528160506	0	0	1	1	0.501795393	1	41
541	0.434395861	-0.617073841	0	0	0	0	0.617389647	1	29
548	0.195529055	-0.758178829	0	0	1	0	0.637327589	1	42
549	0.601565225	-0.611435815	0	0	0	0	0.67904949	1	11
564	0.108106563	-0.636700258	0	0	0	0	0.495073847	1	38
579	-0.4255109	-1.116595434	0	0	0	1	0.680389627	1	36
589	-0.230692998	-0.800879475	0	0	0	1	0.493400882	1	4
590	-0.365088768	-2.046796344	0	1	0	0	0.384471407	1	15
591	0.157517929	0.110056218	0	0	0	1	0.070094176	1	63
600	-0.953610096	-0.921834964	0	0	1	0	0.29836658	1	43
608	1.479394871	-1.587708073	0	1	1	0	0.752025125	1	44
610	1.011654377	-0.927519803	0	0	1	1	0.92991994	1	45
614	0.133177628	-1.2344491	1	0	0	1	0.369062088	1	60
631	1.460265746	-1.927792982	1	1	1	1	0.401572392	1	46
635	-1.419162926	-1.672549131	0	0	1	0	0.731107082	1	47
644	-0.514396509	-1.106706204	0	0	0	0	0.637782311	1	55
655	-0.205336987	0.01122825	0	0	1	1	0.053867898	1	48
660	0.511254541	-3.121589558	0	0	1	0	0.999925536	1	49
663	-0.534963587	-0.97667032	0	0	1	0	0.517051776	1	50
676	0.19040937	-0.3800668	0	0	0	0	0.312662279	1	9
681	-0.096216776	-0.519946863	0	0	0	0	0.312196221	1	40
687	0.585230684	-0.404274701	0	0	1	1	0.496351087	1	51
703	-0.208991173	-0.155254089	0	0	1	0	0.092702699	1	53
704	-1.231402779	-1.021718908	0	0	1	0	0.272118713	1	54
715	-0.373650328	-0.586460659	0	0	0	0	0.261816889	1	54
725	0.121753856	-0.803105551	0	0	1	0	0.644490408	1	55
729	0.113661115	-1.940244479	1	0	0	0	0.873899156	1	32
732	1.059936278	-1.297970419	1	0	0	0	0.786212311	1	2
742	-0.267673272	-0.943824023	0	0	1	0	0.602717124	1	56
754	0.093746021	-0.673255314	0	0	1	1	0.521261885	1	57
769	0.373460984	-0.609633972	0	0	0	1	0.585650807	1	56
770	1.029888131	0.593256912	0	0	1	1	0.058267287	1	58
787	0.635568163	-1.131064484	1	0	0	0	0.492758215	1	41
791	0.605290516	-0.169421162	0	0	0	0	0.307126809	1	5
794	0.372566114	-0.26010014	0	0	1	0	0.289740481	1	59
802	-1.38765058	-0.498500477	0	0	0	0	0.042547927	1	24
804	1.81096073	0.126240923	0	0	0	1	0.558469954	1	17
806	0.777237124	-0.186525215	0	0	0	0	0.388505895	1	6
810	-0.354959345	-0.720719404	0	0	1	1	0.371146984	1	60
811	0.785262601	-0.59006523	0	0	0	0	0.729726279	1	44
819	-0.568206881	-0.717301983	0	0	1	1	0.286882891	1	61
833	-0.604009755	-0.967514754	0	0	1	0	0.478901544	1	62
840	-0.077320865	-0.402709871	0	0	0	0	0.236265766	1	31
842	0.129923154	-0.55278823	0	0	0	0	0.430531044	1	27
843	-0.425673133	-1.35467498	0	0	0	0	0.83210753	1	21
866	0.649439318	-0.403231504	1	0	1	1	0.069838701	1	63
870	1.451443632	-0.674273285	1	0	0	0	0.442516039	1	22
886	0.928409396	-0.208116882	0	0	0	0	0.471573393	1	51
888	0.821878106	0.349722663	0	0	1	1	0.092794846	1	64
897	0.111591884	-0.410473602	0	0	1	1	0.306419919	1	65
906	0.901304802	-1.354930693	0	1	1	1	0.326688411	1	66
913	0.67279407	-1.221161358	1	0	0	0	0.588006212	1	3
919	-0.34886091	-2.058412689	0	1	0	0	0.401042722	1	69
923	0.382348338	-1.058659855	1	0	0	1	0.32590508	1	66
934	-1.032886991	-1.253258609	0	0	0	0	0.545804996	1	52
952	0.210781418	-0.973452669	0	0	1	1	0.794898508	1	68
958	-0.211332458	-1.098778415	0	1	0	1	0.027406831	1	73
975	-0.979696368	-1.069312829	0	0	1	0	0.406890683	1	69
981	1.935167264	0.256480537	0	0	1	1	0.497169657	1	70
986	0.589276721	-0.789706361	1	0	1	0	0.210550987	1	71
987	0.215849477	-0.470435554	0	0	1	1	0.395906609	1	72
994	1.392758628	0.218459988	0	0	0	1	0.305692932	1	65
999	0.760848729	-1.375784861	1	1	1	0	0.027219532	1	73
