	id	site	age	setting	pretest	encouraged	y
163	163	3	50	1	11	1	22
164	164	3	59	1	10	1	22
165	165	3	53	1	12	1	28
166	166	3	55	1	10	1	20
167	167	3	57	1	13	1	6
168	168	3	58	1	5	1	14
169	169	3	44	1	12	1	15
170	170	3	39	1	12	0	11
171	171	3	53	2	17	1	20
172	172	3	52	1	10	1	16
173	173	3	57	1	11	0	29
174	174	3	40	1	10	1	22
175	175	3	47	1	13	1	13
176	176	3	51	1	19	1	20
177	177	3	48	1	7	1	12
178	178	3	49	1	16	0	16
179	179	3	50	1	8	1	19
180	180	4	53	2	13	0	16
181	181	4	52	2	15	0	11
182	182	4	51	2	12	0	16
183	183	4	52	2	16	0	19
184	184	4	46	2	3	0	11
185	185	4	51	2	19	0	15
186	186	4	47	2	12	0	14
187	187	4	51	2	13	1	16
188	188	4	54	2	20	1	13
189	189	4	54	2	4	1	13
190	190	4	57	2	11	1	24
191	191	4	53	2	12	1	13
192	192	4	50	2	16	1	25
193	193	4	57	2	23	0	25
194	194	4	58	2	30	0	43
195	195	4	58	2	29	0	44
196	196	4	53	2	19	0	13
197	197	4	49	2	17	0	15
198	198	4	51	2	1	0	0
199	199	4	58	2	13	0	18
200	200	4	51	2	12	0	10
201	201	4	53	2	17	0	15
202	202	4	56	2	17	1	33
203	203	4	51	1	11	1	19
204	204	4	47	1	12	1	15
205	205	4	54	1	14	1	41
206	206	4	54	1	15	1	30
207	207	4	46	1	14	1	24
208	208	4	52	1	15	1	45
209	209	4	48	1	18	1	17
210	210	4	49	1	21	0	14
211	211	4	58	1	7	0	15
212	212	4	46	1	13	0	14
213	213	4	57	1	19	0	19
214	214	4	48	1	12	0	17
215	215	4	52	1	8	0	16
216	216	4	57	1	17	1	32
217	217	4	46	1	9	1	18
218	218	4	55	1	12	1	40
219	219	4	44	1	11	1	23
220	220	4	56	2	15	0	23
221	221	4	44	1	14	1	23
222	222	4	59	1	17	1	46
223	223	5	48	1	8	1	11
224	224	5	56	1	17	1	20
225	225	5	58	1	18	1	44
226	226	5	53	1	11	1	19
227	227	5	53	1	16	1	13
228	228	5	65	1	16	0	15
229	229	5	46	1	5	0	13
230	230	5	49	1	12	0	16
231	231	5	55	1	40	0	49
232	232	5	46	1	9	1	13
233	233	5	58	1	55	1	54
234	234	5	47	1	13	1	34
235	235	5	53	1	25	1	44
236	236	5	51	1	15	1	33
237	237	5	49	1	16	1	26
238	238	5	43	1	13	1	19
239	239	5	60	1	16	1	35
240	240	5	51	1	11	1	32
