s	Y	age	Z
467	0	42	0
468	0	26	1
469	1	38	1
470	0	38	0
471	0	32	0
472	1	68	0
473	0	54	0
474	0	41	0
475	0	31	1
476	0	24	0
477	1	44	1
478	0	43	0
479	0	47	0
480	1	62	1
481	0	75	0
482	0	32	0
483	0	67	1
484	0	23	0
485	1	51	1
486	0	38	0
487	0	18	1
488	0	34	1
489	0	30	1
490	0	70	0
491	1	62	1
492	0	43	0
493	1	57	0
494	0	19	1
495	1	58	1
496	0	74	0
497	0	25	0
498	1	73	1
499	0	42	0
500	1	48	1
501	0	37	1
502	1	63	1
503	1	75	0
504	0	37	0
505	0	22	1
506	0	27	1
507	0	61	0
508	0	37	0
509	0	72	0
510	1	73	1
511	0	32	0
512	0	46	1
513	0	19	1
514	0	18	1
515	0	22	0
516	1	75	1
517	0	42	1
518	1	54	1
519	0	49	0
520	0	57	0
521	0	30	0
522	0	42	0
523	0	21	0
524	1	59	1
525	1	55	0
526	1	67	1
527	0	22	0
528	1	69	1
529	0	18	0
530	0	55	1
531	1	63	1
532	0	30	1
533	0	25	0
534	1	66	1
535	0	36	0
536	1	65	1
537	1	64	1
538	0	45	0
539	1	65	1
540	1	66	1
541	0	68	1
542	0	63	0
543	1	55	1
544	0	28	0
545	0	25	0
546	0	40	0
547	0	37	1
548	0	68	0
549	0	22	0
550	0	19	1
551	0	70	0
552	0	22	0
553	0	29	1
554	0	20	0
555	0	43	0
556	0	67	0
557	0	31	1
558	0	30	1
559	0	48	0
560	1	72	1
561	0	64	1
562	0	73	0
563	1	51	1
564	0	47	0
565	0	43	0
566	1	62	1
567	1	65	1
568	0	24	1
569	1	65	1
570	1	44	1
571	0	66	1
572	1	60	1
573	0	26	0
574	0	25	1
575	0	39	0
576	0	62	0
577	0	23	0
578	1	68	1
579	1	65	1
580	0	44	0
581	1	61	0
582	0	47	0
583	0	27	1
584	0	47	0
585	0	18	1
586	1	23	1
587	0	34	0
588	1	30	1
589	1	71	0
590	0	43	0
591	0	19	0
592	0	49	1
593	1	64	1
594	1	53	1
595	0	61	0
596	0	22	1
597	1	40	1
598	0	55	0
599	1	68	1
600	0	37	1
601	1	45	1
602	1	45	1
603	1	29	1
604	0	52	1
605	0	21	1
606	1	64	0
607	1	63	0
608	0	43	0
609	1	30	1
610	0	20	0
611	0	63	0
612	1	32	1
613	1	51	1
614	1	55	1
615	1	68	1
616	1	65	1
617	1	69	1
618	0	21	1
619	1	43	1
620	0	38	1
621	1	38	1
622	1	63	1
623	1	72	1
624	1	33	1
625	1	75	1
626	0	54	0
627	0	41	0
628	0	38	0
629	0	20	1
630	1	43	1
631	1	40	0
632	1	53	0
633	1	72	0
634	1	66	0
635	0	39	0
636	1	64	1
637	0	20	1
638	1	65	1
639	1	65	1
640	1	73	1
641	0	21	0
642	1	53	0
643	1	75	1
644	0	69	0
645	1	54	0
646	1	18	0
647	1	64	1
648	0	54	0
649	0	39	0
650	0	38	0
651	0	74	1
652	0	44	1
653	0	28	1
654	1	75	1
655	0	61	0
656	1	69	1
657	0	28	0
658	0	23	0
659	1	65	1
660	0	53	0
661	1	74	1
662	0	23	1
663	1	37	1
664	1	57	1
665	1	71	1
666	0	50	0
667	1	57	1
668	0	28	1
669	0	28	0
670	1	71	0
671	0	38	1
672	0	38	0
673	0	34	1
674	0	26	0
675	0	71	0
676	0	35	0
677	1	68	0
678	0	48	0
679	1	61	1
680	0	25	1
681	0	40	0
682	0	23	0
683	1	74	1
684	1	28	1
685	0	68	0
686	1	75	1
687	1	54	1
688	0	42	0
689	0	19	1
690	1	56	1
691	1	75	1
692	1	49	1
693	0	59	0
694	0	57	0
695	0	39	1
696	1	52	1
697	0	28	0
698	0	30	0
699	1	68	1
700	0	19	1
701	1	57	0
702	0	23	1
703	0	32	1
704	1	72	1
705	0	71	0
706	1	58	0
707	1	45	1
708	0	18	0
709	0	19	1
710	0	26	1
711	0	66	0
712	0	22	1
713	0	44	1
714	1	59	0
715	0	46	0
716	0	19	1
717	0	54	0
718	0	48	0
719	1	70	1
720	1	31	1
721	0	42	0
722	0	38	0
723	0	40	0
724	1	23	1
725	0	65	0
726	1	38	1
727	0	22	1
728	0	42	1
729	0	34	1
730	1	50	1
731	1	75	0
732	0	57	0
733	0	36	0
734	0	34	1
735	0	37	0
736	1	70	0
737	1	40	1
738	0	37	0
739	1	65	0
740	1	66	0
741	0	48	0
742	0	22	0
743	0	44	1
744	1	50	1
745	0	18	0
746	1	46	1
747	1	51	1
748	1	73	0
749	0	53	0
750	0	37	0
751	0	38	0
752	1	55	1
753	1	69	1
754	0	41	0
755	1	51	1
756	1	64	1
757	0	37	0
758	1	67	1
759	0	20	1
760	0	37	0
761	0	51	0
762	1	75	1
763	1	75	0
764	0	32	1
765	0	47	0
766	1	59	1
767	0	30	0
768	0	33	0
769	1	60	1
770	1	53	1
771	0	65	0
772	0	47	1
773	0	64	0
774	0	46	0
775	1	45	1
776	0	30	1
777	1	68	0
778	1	65	1
779	0	24	1
780	1	35	1
781	0	18	0
782	0	75	0
783	0	21	1
784	0	22	0
785	1	63	0
786	1	71	1
787	0	53	0
788	0	51	0
789	0	43	0
790	0	50	1
791	0	36	0
792	0	34	1
793	1	68	0
794	0	30	0
795	1	67	1
796	0	56	0
797	1	53	0
798	0	24	0
799	0	39	0
800	0	26	0
801	0	49	1
802	1	57	1
803	1	69	0
804	0	50	0
805	1	66	1
806	0	45	0
807	0	29	1
808	0	47	1
809	1	73	1
810	1	52	1
811	1	67	1
812	0	43	0
813	0	20	1
814	0	32	1
815	0	56	0
816	1	40	1
817	0	42	0
818	0	18	1
819	1	45	1
820	1	69	1
821	0	26	1
822	1	71	0
823	0	31	1
824	0	69	0
825	0	48	0
826	1	73	1
827	0	33	0
828	0	38	0
829	1	61	1
830	0	29	1
831	0	47	0
832	0	39	0
833	1	63	1
834	1	65	0
835	0	18	1
836	0	29	1
837	1	45	1
838	0	29	1
839	0	42	0
840	1	67	0
841	1	42	1
842	0	25	0
843	1	71	0
844	0	48	0
845	0	22	0
846	0	29	0
847	1	47	1
848	0	26	0
849	0	19	0
850	0	26	1
851	0	58	0
852	1	72	0
853	1	58	0
854	0	60	1
855	0	39	0
856	1	74	0
857	0	44	1
858	1	59	1
859	0	55	0
860	1	71	1
861	0	40	1
862	1	51	1
863	0	20	0
864	0	18	0
865	0	19	0
866	1	36	1
867	1	71	0
868	0	46	0
869	0	22	0
870	0	51	0
871	1	58	0
872	1	75	1
873	0	29	0
874	0	58	0
875	1	35	1
876	0	51	1
877	1	64	0
878	0	30	0
879	1	56	0
880	0	21	1
881	0	23	1
882	1	67	1
883	0	65	0
884	0	40	0
885	1	62	0
886	1	42	1
887	0	33	1
888	1	39	0
889	0	43	0
890	1	57	1
891	0	65	0
892	0	31	0
893	1	70	1
894	0	74	0
895	0	23	0
896	1	71	0
897	0	25	0
898	1	38	1
899	0	41	0
900	0	20	0
901	1	57	1
902	1	54	1
903	0	31	0
904	0	44	0
905	0	30	0
906	0	36	1
907	0	20	0
908	0	46	0
909	0	22	1
910	1	62	0
911	0	68	0
912	0	42	0
913	0	48	1
914	0	31	1
915	1	72	1
916	0	53	1
917	0	37	0
918	1	48	1
919	0	30	1
920	0	20	0
921	0	57	0
922	0	41	0
923	0	46	0
924	0	27	0
925	0	30	1
926	0	59	1
927	0	23	0
928	0	27	1
929	1	75	0
930	1	56	1
931	0	67	0
932	0	36	0
933	1	73	0
934	0	35	1
935	0	72	0
936	0	38	0
937	1	63	0
938	0	40	0
939	0	43	0
940	0	32	0
941	1	46	1
942	0	64	0
943	0	59	0
944	1	46	0
945	0	22	1
946	1	39	1
947	0	18	1
948	1	66	0
949	0	39	1
950	0	30	0
951	0	39	1
952	1	75	1
953	0	23	0
954	1	61	1
955	0	58	0
956	1	50	1
957	1	41	1
958	0	39	1
959	1	50	1
960	0	27	0
961	1	62	0
962	1	36	1
963	0	25	0
964	0	29	0
965	0	28	1
966	0	33	1
967	1	60	1
968	1	38	1
969	0	23	0
970	0	41	0
971	0	43	0
972	0	25	0
973	0	38	1
974	0	24	0
975	0	52	0
976	1	59	1
977	1	50	1
978	0	47	0
979	0	22	0
980	0	22	0
981	0	21	1
982	0	28	1
983	1	58	1
984	0	19	0
985	0	27	0
986	0	51	1
987	0	19	1
988	0	29	0
989	0	23	1
990	1	63	1
991	1	75	1
992	0	26	1
993	0	56	0
994	0	36	0
995	0	22	1
996	0	34	0
997	0	26	1
998	1	71	0
999	1	61	1
1000	0	71	0
